"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Bondurant","Bondurant","IA","Iowa","19153","Polk","41.6985","-93.4556","7617","319.1","shape","FALSE","TRUE","America/Chicago","3","50035","1840007067"
"London","London","KY","Kentucky","21125","Laurel","37.1175","-84.0767","7612","233.3","shape","FALSE","TRUE","America/New_York","3","40741 40744 40743","1840015258"
"Decorah","Decorah","IA","Iowa","19191","Winneshiek","43.3012","-91.7839","7611","407.4","shape","FALSE","TRUE","America/Chicago","3","52101 52149","1840006864"
"Ojai","Ojai","CA","California","06111","Ventura","34.4488","-119.2469","7610","674.5","shape","FALSE","TRUE","America/Los_Angeles","3","93023 93024","1840020473"
"Burton","Burton","SC","South Carolina","45013","Beaufort","32.4232","-80.7456","7603","351.5","shape","FALSE","FALSE","America/New_York","3","29902 29906 29903","1840013816"
"Inverness","Inverness","FL","Florida","12017","Citrus","28.8416","-82.3418","7602","352.3","shape","FALSE","TRUE","America/New_York","3","34450 34453 34452 34451","1840015085"
"Pittston","Pittston","PA","Pennsylvania","42079","Luzerne","41.3272","-75.7888","7601","1917.6","shape","FALSE","TRUE","America/New_York","3","18640","1840000766"
"Wickenburg","Wickenburg","AZ","Arizona","04013","Maricopa","33.9837","-112.7669","7600","110.7","shape","FALSE","TRUE","America/Phoenix","3","85390 85358","1840022916"
"Dunellen","Dunellen","NJ","New Jersey","34023","Middlesex","40.5903","-74.4656","7598","2761.8","shape","FALSE","TRUE","America/New_York","2","08812","1840003634"
"Monahans","Monahans","TX","Texas","48475","Ward","31.6289","-103.0403","7595","101.4","shape","FALSE","TRUE","America/Chicago","3","79756 79788","1840036514"
"Hewlett","Hewlett","NY","New York","36059","Nassau","40.6422","-73.6942","7590","3327.8","shape","FALSE","FALSE","America/New_York","2","11563 11557","1840005265"
"Southwest Ranches","Southwest Ranches","FL","Florida","12011","Broward","26.0476","-80.3751","7589","225.8","shape","FALSE","TRUE","America/New_York","3","33331 33330 33332","1840018328"
"Lakes of the Four Seasons","Lakes of the Four Seasons","IN","Indiana","18089","Lake","41.4074","-87.2202","7589","1286.5","shape","FALSE","FALSE","America/Chicago","3","46307","1840004833"
"River Oaks","River Oaks","TX","Texas","48439","Tarrant","32.7767","-97.3985","7586","1443.6","shape","FALSE","TRUE","America/Chicago","3","76114","1840020701"
"White Oak","White Oak","PA","Pennsylvania","42003","Allegheny","40.3415","-79.8008","7585","442.4","shape","FALSE","TRUE","America/New_York","3","15131 15642","1840001277"
"Franklin","Franklin","CA","California","06047","Merced","37.3275","-120.5321","7581","1445.3","shape","FALSE","TRUE","America/Los_Angeles","3","95348","1840075835"
"Fort Lee","Fort Lee","VA","Virginia","51149","Prince George","37.2357","-77.3325","7577","490.7","shape","TRUE","TRUE","America/New_York","3","23801","1840073580"
"Red Chute","Red Chute","LA","Louisiana","22015","Bossier","32.5732","-93.6059","7577","317.3","shape","FALSE","FALSE","America/Chicago","3","71037","1840013789"
"Fort Scott","Fort Scott","KS","Kansas","20011","Bourbon","37.8283","-94.7038","7569","523.5","shape","FALSE","TRUE","America/Chicago","3","66701","1840001683"
"Cottage Grove","Cottage Grove","WI","Wisconsin","55025","Dane","43.0922","-89.2054","7567","622.9","shape","FALSE","TRUE","America/Chicago","3","53527","1840002910"
"Fairfax","Fairfax","CA","California","06041","Marin","37.9886","-122.5952","7567","1311.3","shape","FALSE","TRUE","America/Los_Angeles","3","94930","1840021516"
"Woodlake","Woodlake","VA","Virginia","51041","Chesterfield","37.4215","-77.6783","7566","1206.3","shape","FALSE","FALSE","America/New_York","3","23112","1840026845"
"Enoch","Enoch","UT","Utah","49021","Iron","37.7669","-113.0449","7563","367.4","shape","FALSE","TRUE","America/Denver","3","84721","1840020273"
"Pikeville","Pikeville","KY","Kentucky","21195","Pike","37.4806","-82.5262","7563","140.6","shape","FALSE","TRUE","America/New_York","3","41501 41502","1840014348"
"Lander","Lander","WY","Wyoming","56013","Fremont","42.8312","-108.7599","7561","311.2","shape","FALSE","TRUE","America/Denver","3","82520","1840020027"
"West Livingston","West Livingston","TX","Texas","48373","Polk","30.6957","-95.0097","7559","122.8","shape","FALSE","FALSE","America/Chicago","3","77351","1840019561"
"Mila Doce","Mila Doce","TX","Texas","48215","Hidalgo","26.2230","-97.9601","7554","887.6","shape","FALSE","FALSE","America/Chicago","3","78570 78599","1840037094"
"Utuado","Utuado","PR","Puerto Rico","72141","Utuado","18.2700","-66.7048","7554","1599.2","shape","FALSE","FALSE","America/Puerto_Rico","3","00641","1630023623"
"Waikele","Waikele","HI","Hawaii","15003","Honolulu","21.4025","-158.0058","7551","2649.5","shape","FALSE","TRUE","Pacific/Honolulu","2","96797","1840039259"
"North Bend","North Bend","WA","Washington","53033","King","47.4900","-121.7741","7549","670.4","shape","FALSE","TRUE","America/Los_Angeles","3","98045","1840019833"
"Cotati","Cotati","CA","California","06097","Sonoma","38.3278","-122.7092","7545","1554.2","shape","FALSE","TRUE","America/Los_Angeles","3","94931 94926","1840018840"
"Breaux Bridge","Breaux Bridge","LA","Louisiana","22099","St. Martin","30.2829","-91.9043","7544","377.5","shape","FALSE","TRUE","America/Chicago","3","70517","1840013960"
"Williston Park","Williston Park","NY","New York","36059","Nassau","40.7587","-73.6465","7543","4650.5","shape","FALSE","TRUE","America/New_York","2","11596","1840005333"
"Swainsboro","Swainsboro","GA","Georgia","13107","Emanuel","32.5866","-82.3345","7542","231.5","shape","FALSE","TRUE","America/New_York","3","30401","1840015787"
"Independence","Independence","OH","Ohio","39035","Cuyahoga","41.3780","-81.6385","7539","305.6","shape","FALSE","TRUE","America/New_York","3","44131","1840000607"
"Odessa","Odessa","FL","Florida","12101","Pasco","28.1821","-82.5530","7538","542.6","shape","FALSE","FALSE","America/New_York","3","33556 33558","1840014121"
"Tuttle","Tuttle","OK","Oklahoma","40051","Grady","35.3068","-97.7564","7533","98.7","shape","FALSE","TRUE","America/Chicago","3","73089","1840021802"
"Mount Sterling","Mount Sterling","KY","Kentucky","21173","Montgomery","38.0648","-83.9472","7532","647.0","shape","FALSE","TRUE","America/New_York","3","40353","1840014319"
"Mantua","Mantua","VA","Virginia","51059","Fairfax","38.8526","-77.2571","7531","1228.0","shape","FALSE","FALSE","America/New_York","3","22031 22034 22036 22116","1840006036"
"North Weeki Wachee","North Weeki Wachee","FL","Florida","12053","Hernando","28.5592","-82.5537","7529","201.6","shape","FALSE","TRUE","America/New_York","3","34613","1840073872"
"Savage","Savage","MD","Maryland","24027","Howard","39.1485","-76.8228","7528","1062.3","shape","FALSE","FALSE","America/New_York","3","20763 20794","1840026664"
"Hughson","Hughson","CA","California","06099","Stanislaus","37.6020","-120.8660","7523","1523.7","shape","FALSE","TRUE","America/Los_Angeles","3","95326","1840020285"
"Knoxville","Knoxville","IA","Iowa","19125","Marion","41.3188","-93.1024","7523","629.0","shape","FALSE","TRUE","America/Chicago","3","50138","1840008229"
"Iron Mountain","Iron Mountain","MI","Michigan","26043","Dickinson","45.8275","-88.0599","7522","385.1","shape","FALSE","TRUE","America/Menominee","3","49801","1840001991"
"Kaufman","Kaufman","TX","Texas","48257","Kaufman","32.5766","-96.3158","7520","310.6","shape","FALSE","TRUE","America/Chicago","3","75142","1840019450"
"Creston","Creston","IA","Iowa","19175","Union","41.0598","-94.3650","7519","559.5","shape","FALSE","TRUE","America/Chicago","3","50801","1840000892"
"New Cumberland","New Cumberland","PA","Pennsylvania","42041","Cumberland","40.2297","-76.8764","7515","1732.6","shape","FALSE","TRUE","America/New_York","3","17070","1840001391"
"Chehalis","Chehalis","WA","Washington","53041","Lewis","46.6638","-122.9650","7512","499.4","shape","FALSE","TRUE","America/Los_Angeles","3","98532","1840018472"
"DuBois","DuBois","PA","Pennsylvania","42033","Clearfield","41.1223","-78.7565","7509","900.8","shape","FALSE","TRUE","America/New_York","3","15801","1840035398"
"Lely Resort","Lely Resort","FL","Florida","12021","Collier","26.0889","-81.7031","7505","580.9","shape","FALSE","FALSE","America/New_York","3","34113","1840028991"
"Hastings","Hastings","MI","Michigan","26015","Barry","42.6498","-85.2886","7504","556.0","shape","FALSE","TRUE","America/Detroit","3","49058","1840003110"
"Bull Run","Bull Run","VA","Virginia","51059","Fairfax","38.8396","-77.4897","7504","200.9","shape","FALSE","FALSE","America/New_York","3","20120 20121 20122","1840153063"
"Sebastopol","Sebastopol","CA","California","06097","Sonoma","38.4001","-122.8275","7503","1539.1","shape","FALSE","TRUE","America/Los_Angeles","3","95472 95473","1840021489"
"Marshfield","Marshfield","MO","Missouri","29225","Webster","37.3424","-92.9107","7501","524.6","shape","FALSE","TRUE","America/Chicago","3","65706","1840008742"
"Woodlake","Woodlake","CA","California","06107","Tulare","36.4122","-119.1000","7495","1015.6","shape","FALSE","TRUE","America/Los_Angeles","3","93286","1840021640"
"Madras","Madras","OR","Oregon","41031","Jefferson","44.6483","-121.1390","7494","354.7","shape","FALSE","TRUE","America/Los_Angeles","3","97741","1840019987"
"Berlin","Berlin","NJ","New Jersey","34007","Camden","39.7915","-74.9374","7489","804.6","shape","FALSE","TRUE","America/New_York","3","08009","1840001505"
"Brighton","Brighton","MI","Michigan","26093","Livingston","42.5298","-83.7848","7486","822.5","shape","FALSE","TRUE","America/Detroit","3","48116","1840003099"
"Haddon Heights","Haddon Heights","NJ","New Jersey","34007","Camden","39.8792","-75.0645","7484","1844.9","shape","FALSE","TRUE","America/New_York","3","08035","1840003779"
"Blandon","Blandon","PA","Pennsylvania","42011","Berks","40.4447","-75.8799","7484","651.1","shape","FALSE","FALSE","America/New_York","3","19510","1840026444"
"Eagle","Eagle","CO","Colorado","08037","Eagle","39.6366","-106.8125","7481","494.3","shape","FALSE","TRUE","America/Denver","3","81631","1840021424"
"Arcadia","Arcadia","FL","Florida","12027","DeSoto","27.2215","-81.8585","7480","652.2","shape","FALSE","TRUE","America/New_York","3","34266","1840014187"
"Longboat Key","Longboat Key","FL","Florida","12081","Manatee","27.3926","-82.6341","7479","708.1","shape","FALSE","TRUE","America/New_York","3","34228","1840017250"
"Vernon","Vernon","WI","Wisconsin","55133","Waukesha","42.8840","-88.2494","7478","96.3","shape","FALSE","TRUE","America/Chicago","4","53149 53189 53103","1840000028"
"Kenai","Kenai","AK","Alaska","02122","Kenai Peninsula","60.5619","-151.1985","7477","99.1","shape","FALSE","TRUE","America/Anchorage","3","99611","1840023421"
"Crookston","Crookston","MN","Minnesota","27119","Polk","47.7747","-96.6062","7472","557.7","shape","FALSE","TRUE","America/Chicago","3","56716","1840006604"
"Marengo","Marengo","IL","Illinois","17111","McHenry","42.2299","-88.6163","7471","324.0","shape","FALSE","TRUE","America/Chicago","3","60152","1840008084"
"Tell City","Tell City","IN","Indiana","18123","Perry","37.9529","-86.7595","7470","636.2","shape","FALSE","TRUE","America/Indiana/Tell_City","3","47586","1840009755"
"St. Rose","St. Rose","LA","Louisiana","22089","St. Charles","29.9649","-90.3088","7469","454.9","shape","FALSE","FALSE","America/Chicago","3","70047 70087","1840013973"
"Batesville","Batesville","MS","Mississippi","28107","Panola","34.3148","-89.9249","7464","144.4","shape","FALSE","TRUE","America/Chicago","3","38606","1840013607"
"Old Town","Old Town","ME","Maine","23019","Penobscot","44.9491","-68.7249","7458","74.2","shape","FALSE","TRUE","America/New_York","3","04468 04489","1840000240"
