"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Greenwood","Greenwood","WI","Wisconsin","55019","Clark","44.7655","-90.5989","1043","150.5","shape","FALSE","TRUE","America/Chicago","3","54437","1840002250"
"Woodbine","Woodbine","GA","Georgia","13039","Camden","30.9598","-81.7176","1043","158.3","shape","FALSE","TRUE","America/New_York","3","31569","1840015889"
"Ray City","Ray City","GA","Georgia","13019","Berrien","31.0729","-83.1960","1043","351.3","shape","FALSE","TRUE","America/New_York","3","31645","1840014965"
"Milmay","Milmay","NJ","New Jersey","34001","Atlantic","39.4433","-74.8668","1042","49.0","shape","FALSE","FALSE","America/New_York","3","08340 08330","1840081059"
"Beckemeyer","Beckemeyer","IL","Illinois","17027","Clinton","38.6058","-89.4321","1042","652.2","shape","FALSE","TRUE","America/Chicago","3","62219","1840012853"
"Los Héroes Comunidad","Los Heroes Comunidad","PR","Puerto Rico","72099","Moca","18.3916","-67.1186","1042","570.3","shape","FALSE","FALSE","America/Puerto_Rico","3","00676","1630143407"
"Claverack-Red Mills","Claverack-Red Mills","NY","New York","36021","Columbia","42.2264","-73.7268","1042","133.5","shape","FALSE","TRUE","America/New_York","4","12534 12513","1840073610"
"Catahoula","Catahoula","LA","Louisiana","22099","St. Martin","30.2126","-91.7126","1042","131.4","shape","FALSE","FALSE","America/Chicago","3","70582","1840026015"
"Fort Totten","Fort Totten","ND","North Dakota","38005","Benson","47.9716","-98.9971","1042","46.8","shape","FALSE","FALSE","America/Chicago","3","58335","1840003996"
"Dexter","Dexter","GA","Georgia","13175","Laurens","32.4331","-83.0595","1042","524.2","shape","FALSE","TRUE","America/New_York","3","31019","1840016973"
"Tyler","Tyler","MN","Minnesota","27081","Lincoln","44.2785","-96.1359","1042","191.5","shape","FALSE","TRUE","America/Chicago","3","56178","1840010019"
"Arkport","Arkport","NY","New York","36101","Steuben","42.3926","-77.6955","1041","578.9","shape","FALSE","TRUE","America/New_York","3","14807","1840004557"
"Olcott","Olcott","NY","New York","36063","Niagara","43.3292","-78.7171","1041","110.8","shape","FALSE","FALSE","America/New_York","3","14028 14126","1840004267"
"Flint Hill","Flint Hill","MO","Missouri","29183","St. Charles","38.8627","-90.8724","1041","143.0","shape","FALSE","TRUE","America/Chicago","3","63385 63346","1840008568"
"Shell Ridge","Shell Ridge","CA","California","06013","Contra Costa","37.9060","-122.0345","1041","934.0","shape","FALSE","TRUE","America/Los_Angeles","3","94598","1840076228"
"Town Creek","Town Creek","AL","Alabama","01079","Lawrence","34.6718","-87.4063","1040","149.8","shape","FALSE","TRUE","America/Chicago","3","35672","1840016591"
"Franklin Springs","Franklin Springs","GA","Georgia","13119","Franklin","34.2840","-83.1459","1040","184.3","shape","FALSE","TRUE","America/New_York","3","30639 30662","1840013608"
"Thornport","Thornport","OH","Ohio","39127","Perry","39.9210","-82.4272","1040","334.0","shape","FALSE","FALSE","America/New_York","3","43076","1840026606"
"Dooms","Dooms","VA","Virginia","51015","Augusta","38.1027","-78.8495","1040","99.8","shape","FALSE","FALSE","America/New_York","3","22980","1840006242"
