"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Pretty Bayou","Pretty Bayou","FL","Florida","12005","Bay","30.1976","-85.6974","2469","592.7","shape","FALSE","FALSE","America/Chicago","3","32405","1840029069"
"Leonard","Leonard","TX","Texas","48147","Fannin","33.3829","-96.2467","2468","416.3","shape","FALSE","TRUE","America/Chicago","3","75452","1840020597"
"West Union","West Union","IA","Iowa","19065","Fayette","42.9589","-91.8130","2468","346.9","shape","FALSE","TRUE","America/Chicago","3","52175","1840000390"
"Lavaca","Lavaca","AR","Arkansas","05131","Sebastian","35.3342","-94.1798","2467","428.7","shape","FALSE","TRUE","America/Chicago","3","72941","1840014577"
"Cleveland","Cleveland","FL","Florida","12015","Charlotte","26.9529","-81.9925","2466","181.2","shape","FALSE","FALSE","America/New_York","3","33982","1840013128"
"Gassville","Gassville","AR","Arkansas","05005","Baxter","36.2849","-92.4869","2466","277.5","shape","FALSE","TRUE","America/Chicago","3","72635","1840013330"
"Hayti","Hayti","PA","Pennsylvania","42029","Chester","39.9873","-75.8454","2465","682.1","shape","FALSE","FALSE","America/New_York","3","19320","1840099661"
"Graniteville","Graniteville","SC","South Carolina","45003","Aiken","33.5646","-81.8078","2465","287.8","shape","FALSE","FALSE","America/New_York","3","29829","1840026989"
"Swepsonville","Swepsonville","NC","North Carolina","37001","Alamance","36.0285","-79.3549","2464","662.6","shape","FALSE","TRUE","America/New_York","3","27253 27258","1840016145"
"Stormstown","Stormstown","PA","Pennsylvania","42027","Centre","40.7889","-78.0192","2464","127.4","shape","FALSE","FALSE","America/New_York","3","16870","1840005168"
"Darlington","Darlington","WI","Wisconsin","55065","Lafayette","42.6765","-90.1201","2462","576.2","shape","FALSE","TRUE","America/Chicago","3","53530","1840003098"
"Pleasantdale","Pleasantdale","NJ","New Jersey","34013","Essex","40.8061","-74.2713","2462","1203.4","shape","FALSE","FALSE","America/New_York","3","07052","1840081233"
"Cape Neddick","Cape Neddick","ME","Maine","23031","York","43.1706","-70.6220","2462","254.8","shape","FALSE","FALSE","America/New_York","3","03909 03910","1840002665"
"Wray","Wray","CO","Colorado","08125","Yuma","40.0802","-102.2284","2461","274.8","shape","FALSE","TRUE","America/Denver","3","80758","1840021412"
"Adamstown","Adamstown","PA","Pennsylvania","42071","Lancaster","40.2417","-76.0608","2460","688.4","shape","FALSE","TRUE","America/New_York","3","17569 19501","1840001409"
"Mayer","Mayer","MN","Minnesota","27019","Carver","44.8868","-93.8904","2460","691.5","shape","FALSE","TRUE","America/Chicago","3","55360","1840007847"
"Presidential Lakes Estates","Presidential Lakes Estates","NJ","New Jersey","34005","Burlington","39.9151","-74.5654","2460","850.5","shape","FALSE","FALSE","America/New_York","3","08015","1840005520"
"Cedar Crest","Cedar Crest","MA","Massachusetts","25023","Plymouth","42.0764","-70.6613","2460","651.4","shape","FALSE","FALSE","America/New_York","3","02050 02020 02041","1840147349"
"Milton","Milton","LA","Louisiana","22055","Lafayette","30.1123","-92.0710","2459","204.3","shape","FALSE","FALSE","America/Chicago","3","70592 70508 70558","1840025123"
"Sparks","Sparks","GA","Georgia","13075","Cook","31.1693","-83.4405","2459","239.4","shape","FALSE","TRUE","America/New_York","3","31647","1840018187"
"Newaygo","Newaygo","MI","Michigan","26123","Newaygo","43.4162","-85.8031","2458","252.0","shape","FALSE","TRUE","America/Detroit","3","49337","1840002679"
"Marshfield Hills","Marshfield Hills","MA","Massachusetts","25023","Plymouth","42.1487","-70.7315","2458","207.1","shape","FALSE","FALSE","America/New_York","3","02050 02051","1840003208"
"Vista Center","Vista Center","NJ","New Jersey","34029","Ocean","40.1585","-74.3227","2457","282.5","shape","FALSE","FALSE","America/New_York","3","08527","1840033475"
"La Mesilla","La Mesilla","NM","New Mexico","35039","Rio Arriba","35.9461","-106.0719","2456","212.9","shape","FALSE","FALSE","America/Denver","3","87532","1840024835"
"Maynardville","Maynardville","TN","Tennessee","47173","Union","36.2470","-83.8057","2455","175.7","shape","FALSE","TRUE","America/New_York","3","37807","1840015305"
"Janesville","Janesville","MN","Minnesota","27161","Waseca","44.1198","-93.7096","2455","616.5","shape","FALSE","TRUE","America/Chicago","3","56048","1840007915"
"Holley","Holley","FL","Florida","12113","Santa Rosa","30.4540","-86.9036","2455","267.1","shape","FALSE","FALSE","America/Chicago","3","32566","1840027015"
"Easton","Easton","CA","California","06019","Fresno","36.6524","-119.7908","2454","314.6","shape","FALSE","FALSE","America/Los_Angeles","3","93725 93706","1840017633"
"Carthage","Carthage","TN","Tennessee","47159","Smith","36.2566","-85.9430","2454","326.5","shape","FALSE","TRUE","America/Chicago","3","37030","1840016096"
"Lauderdale","Lauderdale","MN","Minnesota","27123","Ramsey","44.9942","-93.2026","2454","2260.6","shape","FALSE","TRUE","America/Chicago","2","55113 55108","1840007844"
"Warm Springs","Warm Springs","OR","Oregon","41031","Jefferson","44.7669","-121.2898","2453","22.3","shape","FALSE","FALSE","America/Los_Angeles","3","97761","1840018602"
"Midway","Midway","GA","Georgia","13179","Liberty","31.8003","-81.4190","2453","147.1","shape","FALSE","TRUE","America/New_York","3","31320","1840014929"
"Fort Montgomery","Fort Montgomery","NY","New York","36071","Orange","41.3415","-73.9846","2453","514.5","shape","FALSE","FALSE","America/New_York","3","10922 10928","1840004855"
"Council Grove","Council Grove","KS","Kansas","20127","Morris","38.6617","-96.4909","2452","443.3","shape","FALSE","TRUE","America/Chicago","3","66846","1840001648"
"Parsons","Parsons","TN","Tennessee","47039","Decatur","35.6513","-88.1231","2452","234.0","shape","FALSE","TRUE","America/Chicago","3","38363","1840014520"
"Linden","Linden","AZ","Arizona","04017","Navajo","34.2625","-110.1424","2452","31.3","shape","FALSE","FALSE","America/Phoenix","3","85901","1840022580"
"Argentine","Argentine","MI","Michigan","26049","Genesee","42.7905","-83.8356","2451","399.6","shape","FALSE","FALSE","America/Detroit","3","48451","1840004342"
"Elysburg","Elysburg","PA","Pennsylvania","42097","Northumberland","40.8680","-76.5492","2451","324.5","shape","FALSE","FALSE","America/New_York","3","17824","1840005177"
